Timeout (ms),4000 tx,8000 tx,16000 tx,32000 tx
50,855.5,775.8,834.8,751.6
100,1590.6,1617.4,1610.0,1646.9
150,1664.4,1765.9,1718.4,1859.1
200,1633.5,1542.0,1723.9,1651.9
400,1341.4,1577.0,1646.4,1690.6
800,1503.4,1521.4,1488.7,1575.5
1600,1106.6,1298.4,1669.1,1517.8
