Threshold (tx),4000 tx,8000 tx,16000 tx,32000 tx
20,777.9,846.9,547.1,738.3
50,1935.5,2004.4,2067.0,2021.9
100,2418.5,2493.9,2541.4,2511.9
200,2372.3,2462.3,2519.5,2549.1
500,2002,2388.3,2449.8,2533.6
1000,1660.2,2062.9,2346.1,2411.2
